store_id,installHistory,subscriptionHistory
Store_5398,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-30 23:59:59.999000""}]",[]
Store_5373,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2023-07-21 23:59:59.999000""}]",[]
Store_5372,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-06-13 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2022-06-13 00:00:00.000000"",""endType"":null,""toDate"":""2022-06-14 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-07-28 00:00:00.000000"",""endType"":""CUSTOMER_CANCELLED"",""toDate"":""2023-08-04 23:59:59.999000""}]","[{""price"":29.0,""planName"":""basic_regular_2_5"",""fromDate"":""2023-08-04 03:36:05.000000"",""toDate"":""2023-08-04 04:22:41.000000"",""billingOnDate"":null}]"
Store_5385,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":null}]",[]
Store_5384,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-06-04 23:59:59.999000""}]",[]
Store_5402,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":""CUSTOMER_CANCELLED"",""toDate"":""2024-04-16 23:59:59.999000""}]","[{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2022-06-30 09:36:11.000000"",""toDate"":""2024-04-16 13:56:46.000000"",""billingOnDate"":null}]"
Store_5374,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-06-10 23:59:59.999000""}]",[]
Store_5410,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-06-09 23:59:59.999000""},{""toNow"":true,""startType"":null,""fromDate"":""2022-06-09 00:00:00.000000"",""endType"":null,""toDate"":null}]","[{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2022-06-14 09:07:46.000000"",""toDate"":""2023-11-16 12:35:29.000000"",""billingOnDate"":null},{""price"":19.0,""planName"":""basic_regular_1"",""fromDate"":""2023-11-16 12:35:30.000000"",""toDate"":""2024-09-11 00:44:27.700000"",""billingOnDate"":null}]"
Store_5371,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2023-12-15 23:59:59.999000""}]",[]
Store_5387,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-06-15 23:59:59.999000""}]",[]
Store_5380,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":null}]",[]
Store_5401,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-06-01 23:59:59.999000""}]",[]
Store_5379,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-30 23:59:59.999000""}]",[]
Store_5397,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-30 23:59:59.999000""}]",[]
Store_5403,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-30 23:59:59.999000""},{""toNow"":true,""startType"":null,""fromDate"":""2022-06-16 00:00:00.000000"",""endType"":null,""toDate"":null}]","[{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2022-08-02 16:24:04.000000"",""toDate"":""2024-08-20 00:16:12.515000"",""billingOnDate"":null}]"
Store_5408,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2024-08-06 23:59:59.999000""}]",[]
Store_5377,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":null}]",[]
Store_5382,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-30 23:59:59.999000""}]",[]
Store_5395,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-30 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2022-05-31 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-31 23:59:59.999000""}]",[]
Store_5376,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-31 23:59:59.999000""},{""toNow"":true,""startType"":null,""fromDate"":""2022-05-31 00:00:00.000000"",""endType"":null,""toDate"":null}]",[]
Store_5378,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":null}]",[]
Store_5406,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":null}]","[{""price"":69.0,""planName"":""plus_1"",""fromDate"":""2022-07-07 02:01:51.000000"",""toDate"":""2024-08-27 00:33:03.169000"",""billingOnDate"":null}]"
Store_5392,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":null}]",[]
Store_5389,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":""CUSTOMER_CANCELLED"",""toDate"":""2022-11-23 23:59:59.999000""},{""toNow"":false,""startType"":""CUSTOMER_REACTIVATED"",""fromDate"":""2022-12-30 00:00:00.000000"",""endType"":""CUSTOMER_CANCELLED"",""toDate"":""2023-03-17 23:59:59.999000""}]","[{""price"":69.0,""planName"":""plus_1"",""fromDate"":""2022-06-18 05:58:47.000000"",""toDate"":""2022-11-23 02:32:03.000000"",""billingOnDate"":null},{""price"":69.0,""planName"":""plus_1"",""fromDate"":""2022-12-30 08:23:30.000000"",""toDate"":""2023-03-17 08:12:13.000000"",""billingOnDate"":null}]"
Store_5394,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-08-31 23:59:59.999000""}]",[]
Store_5388,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-06-04 23:59:59.999000""}]",[]
Store_5407,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2024-05-17 23:59:59.999000""},{""toNow"":true,""startType"":null,""fromDate"":""2024-05-18 00:00:00.000000"",""endType"":null,""toDate"":null}]","[{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2022-06-14 04:37:10.000000"",""toDate"":""2022-12-09 03:37:32.000000"",""billingOnDate"":null},{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2022-12-09 03:37:32.000000"",""toDate"":""2024-05-17 00:42:38.000000"",""billingOnDate"":null},{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2024-05-18 03:12:20.000000"",""toDate"":""2024-09-06 13:17:14.235000"",""billingOnDate"":null}]"
Store_5409,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":null}]","[{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2022-06-22 12:52:30.000000"",""toDate"":""2022-10-04 14:51:50.000000"",""billingOnDate"":null},{""price"":49.0,""planName"":""regular_5"",""fromDate"":""2022-10-04 14:51:50.000000"",""toDate"":""2024-09-09 00:48:57.358000"",""billingOnDate"":null}]"
Store_5396,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-07-24 23:59:59.999000""}]",[]
Store_5404,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-30 00:00:00.000000"",""endType"":null,""toDate"":""2022-08-24 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2022-08-26 00:00:00.000000"",""endType"":null,""toDate"":""2022-09-01 23:59:59.999000""},{""toNow"":false,""startType"":""CUSTOMER_REOPENED"",""fromDate"":""2022-09-05 00:00:00.000000"",""endType"":""CUSTOMER_CLOSED"",""toDate"":""2023-02-17 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-02-17 00:00:00.000000"",""endType"":null,""toDate"":""2023-06-06 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-06-08 00:00:00.000000"",""endType"":null,""toDate"":""2023-06-11 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-06-12 00:00:00.000000"",""endType"":null,""toDate"":""2023-06-22 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-06-22 00:00:00.000000"",""endType"":null,""toDate"":""2023-06-27 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-06-28 00:00:00.000000"",""endType"":null,""toDate"":""2023-08-23 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-08-24 00:00:00.000000"",""endType"":null,""toDate"":""2023-08-28 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-08-31 00:00:00.000000"",""endType"":null,""toDate"":""2023-09-03 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-09-04 00:00:00.000000"",""endType"":null,""toDate"":""2023-09-08 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-09-08 00:00:00.000000"",""endType"":null,""toDate"":""2023-09-13 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-09-14 00:00:00.000000"",""endType"":null,""toDate"":""2023-09-18 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-09-21 00:00:00.000000"",""endType"":null,""toDate"":""2024-02-20 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2024-02-23 00:00:00.000000"",""endType"":null,""toDate"":""2024-02-28 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2024-02-29 00:00:00.000000"",""endType"":null,""toDate"":""2024-03-08 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2024-03-08 00:00:00.000000"",""endType"":null,""toDate"":""2024-03-16 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2024-03-18 00:00:00.000000"",""endType"":null,""toDate"":""2024-03-23 23:59:59.999000""},{""toNow"":true,""startType"":null,""fromDate"":""2024-03-26 00:00:00.000000"",""endType"":null,""toDate"":null}]","[{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2022-08-26 13:39:20.000000"",""toDate"":""2022-09-01 12:30:45.000000"",""billingOnDate"":null},{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2022-09-05 06:19:12.000000"",""toDate"":""2023-02-17 00:31:04.000000"",""billingOnDate"":null},{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2023-02-17 10:48:35.000000"",""toDate"":""2023-06-06 12:17:30.000000"",""billingOnDate"":null},{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2023-06-08 07:55:49.000000"",""toDate"":""2023-06-11 08:14:47.000000"",""billingOnDate"":null},{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2023-06-12 06:02:29.000000"",""toDate"":""2023-06-22 02:05:00.000000"",""billingOnDate"":null},{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2023-06-22 06:39:33.000000"",""toDate"":""2023-06-27 12:17:45.000000"",""billingOnDate"":null},{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2023-06-28 13:10:13.000000"",""toDate"":""2023-08-23 12:50:50.000000"",""billingOnDate"":null},{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2023-08-24 06:31:19.000000"",""toDate"":""2023-08-28 12:19:00.000000"",""billingOnDate"":null},{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2023-08-31 05:39:01.000000"",""toDate"":""2023-09-03 05:53:45.000000"",""billingOnDate"":null},{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2023-09-04 10:35:18.000000"",""toDate"":""2023-09-08 12:21:25.000000"",""billingOnDate"":null},{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2023-09-08 12:41:35.000000"",""toDate"":""2023-09-12 09:20:35.000000"",""billingOnDate"":null},{""price"":89.0,""planName"":""basic_regular_10"",""fromDate"":""2023-09-12 09:20:35.000000"",""toDate"":""2023-09-13 12:18:10.000000"",""billingOnDate"":null},{""price"":89.0,""planName"":""basic_regular_10"",""fromDate"":""2023-09-14 07:05:01.000000"",""toDate"":""2023-09-18 12:17:45.000000"",""billingOnDate"":null},{""price"":89.0,""planName"":""basic_regular_10"",""fromDate"":""2023-09-21 08:28:19.000000"",""toDate"":""2024-02-20 12:16:40.000000"",""billingOnDate"":null},{""price"":89.0,""planName"":""basic_regular_10"",""fromDate"":""2024-02-23 04:59:38.000000"",""toDate"":""2024-02-28 17:19:15.000000"",""billingOnDate"":null},{""price"":89.0,""planName"":""basic_regular_10"",""fromDate"":""2024-02-29 05:33:18.000000"",""toDate"":""2024-03-08 05:49:15.000000"",""billingOnDate"":null},{""price"":89.0,""planName"":""basic_regular_10"",""fromDate"":""2024-03-08 07:44:41.000000"",""toDate"":""2024-03-16 08:08:38.000000"",""billingOnDate"":null},{""price"":89.0,""planName"":""basic_regular_10"",""fromDate"":""2024-03-18 07:42:35.000000"",""toDate"":""2024-03-23 19:59:55.000000"",""billingOnDate"":null},{""price"":89.0,""planName"":""basic_regular_10"",""fromDate"":""2024-03-26 05:51:56.000000"",""toDate"":""2024-08-20 00:16:02.934000"",""billingOnDate"":null}]"
Store_5357,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2022-06-12 23:59:59.999000""}]",[]
Store_5363,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2022-12-01 23:59:59.999000""}]",[]
Store_5365,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-30 23:59:59.999000""}]",[]
Store_5352,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-29 23:59:59.999000""}]",[]
Store_5369,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2023-06-30 23:59:59.999000""},{""toNow"":true,""startType"":null,""fromDate"":""2024-03-16 00:00:00.000000"",""endType"":null,""toDate"":null}]",[]
Store_5351,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-31 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2022-11-23 00:00:00.000000"",""endType"":""CUSTOMER_CLOSED"",""toDate"":""2023-09-21 23:59:59.999000""}]","[{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2022-11-28 10:05:18.000000"",""toDate"":""2023-09-21 15:36:46.000000"",""billingOnDate"":null}]"
Store_5370,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2023-07-20 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-07-20 00:00:00.000000"",""endType"":null,""toDate"":""2023-07-23 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-07-23 00:00:00.000000"",""endType"":null,""toDate"":""2023-07-26 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-07-26 00:00:00.000000"",""endType"":null,""toDate"":""2023-07-29 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-07-29 00:00:00.000000"",""endType"":null,""toDate"":""2023-07-31 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-07-31 00:00:00.000000"",""endType"":null,""toDate"":""2023-08-03 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-08-03 00:00:00.000000"",""endType"":null,""toDate"":""2023-08-05 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-08-05 00:00:00.000000"",""endType"":""CUSTOMER_CANCELLED"",""toDate"":""2023-08-07 23:59:59.999000""}]","[{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2022-06-13 12:45:41.000000"",""toDate"":""2023-07-20 00:03:15.000000"",""billingOnDate"":null},{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2023-07-20 09:46:23.000000"",""toDate"":""2023-07-23 12:07:35.000000"",""billingOnDate"":null},{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2023-07-23 12:13:12.000000"",""toDate"":""2023-07-26 20:05:00.000000"",""billingOnDate"":null},{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2023-07-26 20:05:42.000000"",""toDate"":""2023-07-29 18:08:00.000000"",""billingOnDate"":null},{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2023-07-29 18:14:13.000000"",""toDate"":""2023-07-31 12:08:25.000000"",""billingOnDate"":null},{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2023-07-31 12:09:05.000000"",""toDate"":""2023-08-03 13:48:30.000000"",""billingOnDate"":null},{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2023-08-03 13:51:53.000000"",""toDate"":""2023-08-05 12:08:50.000000"",""billingOnDate"":null},{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2023-08-05 13:36:52.000000"",""toDate"":""2023-08-07 17:55:26.000000"",""billingOnDate"":null},{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2023-08-08 14:14:52.000000"",""toDate"":""2023-08-14 14:50:55.000000"",""billingOnDate"":null},{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2023-08-14 15:09:18.000000"",""toDate"":""2023-08-20 17:21:11.000000"",""billingOnDate"":null},{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2023-08-20 17:22:14.000000"",""toDate"":""2023-08-20 17:22:15.000000"",""billingOnDate"":null},{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2023-08-20 17:23:51.000000"",""toDate"":""2023-08-25 12:08:11.000000"",""billingOnDate"":null},{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2023-08-25 12:12:12.000000"",""toDate"":""2023-08-30 12:08:00.000000"",""billingOnDate"":null},{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2023-08-30 12:18:13.000000"",""toDate"":""2023-09-04 12:08:06.000000"",""billingOnDate"":null},{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2023-09-04 12:09:57.000000"",""toDate"":""2024-08-13 00:39:12.306000"",""billingOnDate"":null}]"
Store_5359,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-29 23:59:59.999000""}]",[]
Store_5364,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2022-08-01 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2022-10-16 00:00:00.000000"",""endType"":null,""toDate"":""2022-12-13 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-02-17 00:00:00.000000"",""endType"":null,""toDate"":""2023-04-16 23:59:59.999000""}]",[]
Store_5353,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":""CUSTOMER_CANCELLED"",""toDate"":""2022-06-17 23:59:59.999000""}]","[{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2022-06-17 14:36:36.000000"",""toDate"":""2022-06-17 17:36:00.000000"",""billingOnDate"":null}]"
Store_5367,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2022-06-07 23:59:59.999000""}]",[]
Store_5360,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2022-11-17 23:59:59.999000""},{""toNow"":true,""startType"":null,""fromDate"":""2022-12-21 00:00:00.000000"",""endType"":null,""toDate"":null}]",[]
Store_5354,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-29 23:59:59.999000""}]",[]
Store_5358,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-29 23:59:59.999000""}]",[]
Store_5356,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":null}]",[]
Store_5366,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":""CUSTOMER_CANCELLED"",""toDate"":""2022-06-08 23:59:59.999000""}]","[{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2022-05-29 14:26:10.000000"",""toDate"":""2022-06-08 05:48:58.000000"",""billingOnDate"":null}]"
Store_5361,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2023-02-03 23:59:59.999000""}]",[]
Store_5362,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-29 23:59:59.999000""}]",[]
Store_5355,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2022-10-18 23:59:59.999000""}]",[]
Store_5368,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-29 00:00:00.000000"",""endType"":null,""toDate"":""2022-06-03 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-03-14 00:00:00.000000"",""endType"":null,""toDate"":""2023-03-14 23:59:59.999000""}]",[]
Store_5344,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-28 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-28 23:59:59.999000""}]",[]
Store_5345,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-28 00:00:00.000000"",""endType"":null,""toDate"":""2022-06-10 23:59:59.999000""}]",[]
Store_5349,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-28 00:00:00.000000"",""endType"":null,""toDate"":null}]","[{""price"":119.0,""planName"":""regular_15"",""fromDate"":""2022-06-11 21:16:22.000000"",""toDate"":""2024-08-20 00:16:07.333000"",""billingOnDate"":null}]"
Store_5346,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-28 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-31 23:59:59.999000""}]",[]
Store_5350,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-28 00:00:00.000000"",""endType"":null,""toDate"":null}]","[{""price"":19.0,""planName"":""regular_1"",""fromDate"":""2022-11-12 20:30:12.000000"",""toDate"":""2024-05-20 00:52:51.000000"",""billingOnDate"":null},{""price"":19.0,""planName"":""basic_regular_1"",""fromDate"":""2024-05-20 00:52:51.000000"",""toDate"":""2024-09-11 00:43:38.267000"",""billingOnDate"":null}]"
Store_5348,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-28 00:00:00.000000"",""endType"":null,""toDate"":""2022-07-06 23:59:59.999000""},{""toNow"":false,""startType"":null,""fromDate"":""2023-07-07 00:00:00.000000"",""endType"":null,""toDate"":""2023-07-07 23:59:59.999000""}]",[]
Store_5347,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-28 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-28 23:59:59.999000""}]",[]
Store_5343,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-28 00:00:00.000000"",""endType"":null,""toDate"":null}]",[]
Store_5324,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-27 00:00:00.000000"",""endType"":null,""toDate"":null}]",[]
Store_5332,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-27 00:00:00.000000"",""endType"":null,""toDate"":""2022-05-30 23:59:59.999000""}]",[]
Store_5330,"[{""toNow"":false,""startType"":null,""fromDate"":""2022-05-27 00:00:00.000000"",""endType"":null,""toDate"":""2022-06-07 23:59:59.999000""}]",[]
Store_5341,"[{""toNow"":true,""startType"":null,""fromDate"":""2022-05-27 00:00:00.000000"",""endType"":null,""toDate"":null}]","[{""price"":29.0,""planName"":""regular_2_5"",""fromDate"":""2022-07-13 20:43:09.000000"",""toDate"":""2024-08-27 00:33:13.228000"",""billingOnDate"":null}]"
